ENSEMBLE,COMPOSER,WORK
Oregon,"Abrahamsen, Hans","Left, alone"
Seattle,"Abrahamsen, Hans",Horn Concerto
Amarillo,"Adams, John",Short Ride on a Fast Machine
Arkansas,"Adams, John",Unknown Piece
Cleveland,"Adams, John",Common Tones in Simple Times
Cleveland,"Adams, John",Must the Devil Have All the Good Tunes?
Colorado,"Adams, John",Harmonium
Colorado,"Adams, John",Scherezade 2
Dallas,"Adams, John",Century Rolls
Detroit,"Adams, John",The Chairman Dances
Grand Rapids,"Adams, John",Saxophone Concerto
Los Angeles,"Adams, John",Nixon in China
Los Angeles,"Adams, John",Short Ride on a Fast Machine
Los Angeles,"Adams, John",Tromba Lontana
Louisiana,"Adams, John",Saxophone Concerto
Louisville,"Adams, John",Dr. Atomic Symphony
Memphis,"Adams, John",Dr. Atomic Symphony
Milwaukee,"Adams, John",Absolute Jest
Milwaukee,"Adams, John",The Dharma at Big Star
New York,"Adams, John",Century Rolls
New York,"Adams, John",Saxophone Concerto
Philadelphia,"Adams, John",Saxophone Concerto
Pittsburgh,"Adams, John",Century Rolls
Quad City,"Adams, John",Short Ride on a Fast Machine
River Oaks,"Adams, John",Christian Zeal and Activity
Rochester,"Adams, John",The Chairman Dances
San Antonio,"Adams, John",The Chairman Dances
Seattle,"Adams, John",I Still Dance
Seattle,"Adams, John",I Still Dance
St. Louis,"Adams, John","“Lola Montez Does the Spider Dance” from ""Girls of the Golden West"""
St. Louis,"Adams, John",Century Rolls
Toledo,"Adams, John",Dr. Atomic Symphony
Virginia,"Adams, John",Saxophone Concerto
San Diego,"Adams, John Luther",Become Desert (premiere)
Spokane,"Adams, John Luther",Dark Waves
York,"Addinsell, Richard",Warsaw Concerto
Boston,"Adès, Thomas",Concerto for Piano and Orchestra
Boston,"Adès, Thomas",Polaris
Chicago,"Adès, Thomas",Concerto for Piano and Orchestra
Cleveland,"Adès, Thomas",Asyla
Cleveland,"Adès, Thomas",The Exterminating Angel Symphony
Los Angeles,"Adès, Thomas",Dante I: Inferno
Los Angeles,"Adès, Thomas",Dante II: Purgatorio
Los Angeles,"Adès, Thomas",Dante III: Paradiso
New Jersey,"Adès, Thomas",New Work (US Premiere)
Oregon,"Adès, Thomas",Concerto for Piano and Orchestra
San Francisco,"Adès, Thomas",Angel Symphony
St. Louis,"Adès, Thomas",Concerto for Piano and Orchestra
St. Paul Chamber,"Adès, Thomas","O Albion, from Arcadiana (arr. - US premiere)"
Detroit,"Adler, Samuel",Mirror Images (World Premiere)
Boston,"Adolphe, Julia",New Work
Cincinnati,"Adolphe, Julia",New Work
Los Angeles,"Adolphe, Julia",Violin Concerto
Grant Park,"Agudelo, Victor",La Madre de Aqua
Long Beach,"Aguila, Miguel del",Toccata
Rochester,"Aho, Kalevi",Siedi (Percussion Concerto)
Knoxville,"Al-Zand, Karim",Visions from another world
