Semester,Composer,State,University,Ensemble,Work,Arranger
F 18,"Adams, Alton A",AR,Henderson State University,Wind Ensemble,The Governor's Own,Lamb
Spr 19,"Adams, John",CA,Cal Poly Pomona University,Wind Ensemble,Short Ride in a Fast Machine,
F 18,"Alarcon, Louis Serrano",NC,Appalachian State University,Wind Ensemble,Tramonto,
F 19,"Allen, Fred J.",CA,Concordia University - Irvine,Wind Orchestra,Thanksgiving Hymn,
F 18,"Anderson, Leroy",AK,Anchorage Community College,Concert Band,Bugler's Holiday,
F 18,"Anderson, Leroy",AK,Anchorage Community College,Concert Band,Sleigh Ride,
F 18,"Anderson, Leroy",TN,East Tennessee State University,Concert Band,Sleigh Ride,
F 18,"Anderson, Leroy",TN,Johnson City Community Concert Band,Concert Band,A Christmas Festival,
F 18,"Anderson, Leroy",TN,Johnson City Community Concert Band,Concert Band,Sleigh Ride,
F 18,"Andriessen, Louis",IA,Graceland University,Symphonic Band,Workers Union,
Spr 19,"Arnold, Malcolm",NC,Appalachian State University,Symphony Band,The Padstow Lifeboat,
F 18,"Arnold, Malcolm",IL,Concordia University,University Band,Tam O'Shanter Overture Op. 51,Paynter
Spr 19,"Arnold, Malcolm",TN,East Tennessee State University,Concert Band,"Prelude, Siciliano and Rondo",Paynter
Spr 19,"Bach, Johann Sebastian",SC,Bob Jones University,Symphonic Wind Band,Fantasia in G Major,Goldman
F 18,"Bach, Johann Sebastian",CA,Cal Poly Pomona University,Wind Ensemble,"O Mensch, bewein dein Sünde groß",Grainger
Spr 19,"Bach, Johann Sebastian",OH,Columbus State Community College,Concert Band,Prelude in B-flat Major,Moehlmann
F 18,"Bach, Johann Sebastian",IL,Concordia University,Wind Symphony,Who Puts HIs Trust in God Most Just,Croft
F 18,"Bach, Johann Sebastian",IN,Indiana University,Wind Ensemble,Fantasia and Fugue in C Minor,Hunsberger
Spr 19,"Balmages, Brian",NC,Appalachian State University,Concert Band,Grace,
Spr 19,"Balmages, Brian",NC,Appalachian State University,Concert Band,Summit City,
Spr 19,"Balmages, Brian",CA,Cal Poly Pomona University,Symphonic Band,Rippling Watercolors,
Spr 19,"Balmages, Brian",IL,Concordia University,University Band,Joy in All Things,
Spr 19,"Balmages, Brian",IL,Concordia University,University Band,Kindred Spirits,
Spr 19,"Balmages, Brian",TN,East Tennessee State University,Concert Band,Rippling Watercolors,
F 18,"Barber, Samuel",NC,Appalachian State University,Wind Ensemble,Commando March,
Spr 19,"Bargield, Anthony",IN,Indiana University,Wind Ensemble,"Euphonium Concerto ""Heritage""",
F 19,"Barnes, James",CA,California State Univeristy,Symphonic Band,Yorkshire Ballad,
F 18,"Barnes, James",KS,Kansas State University,Concert Band,Yorkshire Ballad,
F 18,"Barrett, Roland",KS,Kansas State University,Concert Band,Tangents Angular,
F 19,"Bartok, Bela",CA,California State Univeristy,Symphonic Band,Allegro Barbaro,Wallace
Spr 19,"Barton, Steven",TN,East Tennessee State University,Wind Ensemble,A Good Walk Spoiled,
F 18,"Bates, Mason",IN,Indiana University,Concert Band,Mothership,
F 18,"Bellstedt, Herman",GA,Kennesaw State University,Wind Ensemble,Napoli,
F 18,"Bennett, David",OH,Columbus State Community College,Concert Band,Sax - Soliloquy,
F 18,"Berlioz, Hector",NC,Appalachian State University,Wind Ensemble,Overture to Beatrice and Benedict,Henning
Spr 19,"Berlioz, Hector",IL,Concordia University,University Band,Hungarian March from The Damnation of Faust,Gotoh
F 18,"Berlioz, Hector",IN,Indiana University,"All 3 (WE, SB, CB)",Marche Hongroise from Damnation of Faust,Goto
F 18,"Bernstein, Leonard",NC,Appalachian State University,Wind Ensemble,"Profanation from Symphony No. 1 ""Jeremiah""",Bencriscutto
F 18,"Bernstein, Leonard",OR,Clackamas Community College,Wind Ensemble,Three Dance Episodes from On The Town,Stith
F 18,"Bernstein, Leonard",IL,Concordia University,University Band,Overture to Candide,Grundman
F 18,"Bernstein, Leonard",AR,Henderson State University,Wind Ensemble,Four Dances from West Side Story,"Polster, Ian"
F 18,"Bernstein, Leonard",KS,Kansas State University,Wind Ensemble,Overture to Candide,Beeler
F 18,"Bernstein, Leonard",GA,Kennesaw State University,Wind Ensemble,Four Dances from West Side Story,Polster
F 18,"Bernstein, Leonard",GA,Kennesaw State University,Wind Ensemble,Make Our Garden Grow,Kreines
F 18,"Bernstein, Leonard",GA,Kennesaw State University,Wind Ensemble,Overture to Candide,Grundman
F 18,"Bernstein, Leonard",GA,Kennesaw State University,Wind Ensemble,"Prelude, Fugue, and Riffs",
F 18,"Bernstein, Leonard",GA,Kennesaw State University,Wind Ensemble,Slava!,Grundman
F 18,"Bernstein, Leonard",GA,Kennesaw State University,Wind Ensemble,Suite from Mass,Sweeney
F 18,"Biedenbender, David",OH,Bowling Green State University,Wind Symphony,Cyclotron,
F 18,"Biedenbender, David",CA,Cal Poly Pomona University,Symphonic Band,Unquiet Hours,
F 18,Bin Li,IN,Indiana University,Symphonic Band,People of the South Wind,
Spr 19,"Bock, Jerry",IL,Concordia University,University Band,Symphonic Dances from Fiddler on the Roof,Hearshen
Spr 19,"Bourgeois, Derrick",NC,Appalachian State University,Wind Ensemble,Trombone Concerto,
Spr 19,"Boyer, Peter",SC,Clemson University,Symphonic Band,"Fanfare, Hymn, and Finale",
F 18,"Brahms, Johannes",IA,Graceland University,Symphonic Band,Blessed are They,Buehlman
Spr 19,"Brusick, William R.",IL,Concordia University,Symphonic Band,Come Thou Fount of Every Blessing,
F 18,"Bryant, Steven",IA,Graceland University,Symphonic Band,The Machine Awakens,
F 18,"Bryant, Steven",IN,Indiana University,Concert Band,Ecstatic Fanfare,
Spr 19,"Bryant, Steven",IN,Indiana University,Symphonic Band,Suite Dreams,
Spr 19,"Bryant, Steven",MI,Interlochen Arts Academy,Band,Dusk,
Spr 19,"Bryant, Steven",MI,Interlochen Arts Academy,Band,Nothing Gold Can Stay,
F 18,"Bryant, Steven",GA,Kennesaw State University,University Band,The Machine Awakens,
F 18,"Camphouse, Mark",OR,Clackamas Community College,Wind Ensemble,A Dakota Rhapsody,
F 18,"Camphouse, Mark",IL,Concordia University,University Band,Yosemite Autumn,
Spr 19,"Camphouse, Mark",IN,Indiana University,Symphonic Band,A Movement for Rosa,
F 18,"Camphouse, Mark",KS,Kansas State University,Wind Symphony,Yosemite Autumn,
F 19,"Carnahan, John",KS,Hutchinson Community College,Wind Symphony,...and the antelope play,
F 19,"Carroll, Fergal",CA,California State Univeristy,Concert Band,Winter Dances,
F 18,"Caudill, J.A",OH,Columbus State Community College,Concert Band,Folklore for Band,
F 18,"Chance, John Barnes",NC,Appalachian State University,Wind Ensemble,Elegy,
Spr 19,"Chance, John Barnes",NC,Appalachian State University,Concert Band,Incantation and Dance,
Spr 19,"Cheetham, John",TN,East Tennessee State University,Wind Ensemble,Concertino for Brass Quintet and Band,
Spr 19,"Chesnokov, Pavel",NC,Appalachian State University,Symphony Band,Salvation is Created,Houseknecht
Spr 19,Ching-chu Hu,OH,Denison University,Wind Ensemble,In Memory Of,
F 18,"Clark, Reber",IL,Concordia University,Wind Symphony,Fortress of the Rose,
