ENSEMBLE,COMPOSER,WORK,COMP.CODE,ARR.CODE,COMP.LIVE,ARR.LIVE,LAO.GROUP
Buffalo,Unknown,(cello concerto),0,,0,,2
Cape,Unknown,(Cello Concerto),0,,0,,4
Omaha,Unknown,(Clarinet Concerto),0,,0,,2
Omaha,Unknown,2 more works (est.),0,,0,,2
Omaha,Unknown,2 more works (est.),0,,0,,2
Florida,Unknown (competition winner),Unknown,0,,1,,2
Sarasota,"Abrams, Teddy",Overture in Sonata Form,1,,1,,2
Charleston,"Adams, John",Harmonium,1,,1,,3
Chicago,"Adams, John",The Chairman Dances,1,,1,,1
Cleveland,"Adams, John",On the Transmigration of Souls,1,,1,,1
Dallas,"Adams, John",The Chairman Dances,1,,1,,1
Florida,"Adams, John",Short Ride on a Fast Machine,1,,1,,2
Houston,"Adams, John",El Niño,1,,1,,1
Indianapolis,"Adams, John",The Chairman Dances,1,,1,,1
Los Angeles,"Adams, John",Must the Devil Have All the Good Tunes?,1,,1,,1
Los Angeles,"Adams, John",Naive and Sentimental Music,1,,1,,1
Louisville,"Adams, John",Becoming River,1,,1,,3
Nashville,"Adams, John",My Father Knew Charles Ives,1,,1,,1
New York,"Adams, John",City Noir,1,,1,,1
New York,"Adams, John",Harmonium,1,,1,,1
Oregon,"Adams, John",Scherezade 2,1,,1,,1
Philadelphia,"Adams, John",Scherezade 2,1,,1,,1
Quad City,"Adams, John",The Wound Dresser,1,,1,,4
Richmond,"Adams, John",The Chairman Dances,1,,1,,3
Rochester,"Adams, John",Scherezade 2,1,,1,,2
San Diego,"Adams, John",Violin Concerto,1,,1,,1
San Francisco,"Adams, John",New work,1,,1,,1
San Francisco,"Adams, John",New work,1,,1,,1
Seattle,"Adams, John",City Noir,1,,1,,1
Seattle,"Adams, John",Must the Devil Have All the Good Tunes?,1,,1,,1
Seattle,"Adams, John",Short Ride on a Fast Machine,1,,1,,1
Spokane,"Adams, John",Short Ride on a Fast Machine,1,,1,,3
St. Louis,"Adams, John",Must the Devil Have All the Good Tunes?,1,,1,,1
St. Louis,"Adams, John",Short Ride on a Fast Machine,1,,1,,1
River Oaks,"Adashi, Judah",New work,1,,1,,5
Arkansas,"Adès, Thomas",Seven Days: Concerto for Piano with Moving Image,1,,1,,3
Boston,"Adès, Thomas",Lieux retrouvés for cello and orchestra,1,,1,,1
Chicago,"Adès, Thomas",Dances from Powder Her Face,1,,1,,1
Cleveland,"Adès, Thomas",Concerto for Piano and Orchestra,1,,1,,1
Cleveland,"Adès, Thomas","Overture, Waltz, and Finale from Powder Her Face",1,,1,,1
Jacksonville,"Adès, Thomas",Tevot,1,,1,,2
Los Angeles,"Adès, Thomas",Concerto for Piano and Orchestra,1,,1,,1
Phoenix,"Adès, Thomas",Concerto for Violin and Orchestra,1,,1,,2
Pittsburgh,"Adès, Thomas",Concerto for Violin and Orchestra,1,,1,,1
Rochester,"Adès, Thomas",Dances from Powder Her Face,1,,1,,2
River Oaks,"Adolphe, Bruce","I too Bleed, and Hope for Beauty",1,,1,,5
Minnesota,"Aho, Kalevi",Sieidi (percussion concerto),1,,1,,1
Pasadena,Albinoni,Oboe Concerto,1,,2,,6
Portland,Albinoni,Adagio in G minor,1,,2,,3
Atlanta,"Alfvén, Hugo",Suite from Bergakungen,1,,2,,1
Boston,"Ammann, Dieter",New work for piano and orchestra,1,,1,,1
Plano,"Amram, David","Double Concerto for Violin, Cello, and Orchestra",1,,1,,5
Silicon Valley,"Amram, David","Double Concerto for Violin, Cello, and Orchestra",1,,1,,3
Las Colinas,"Anderson, Leroy",The Bluebells of Scotland,1,,2,,5
Cincinnati,"Andres, Timo",Unnamed work,1,,1,,1
Cleveland,"Andriessen, Louis",Agamemnon,1,,1,,1
Kansas City,"Andriessen, Louis",The nine symphonies of Beethoven,1,,1,,2
Cleveland,"Antheil, George",Ballet mecanique,1,,2,,1
Atlanta,Artunian,Trumpet Concerto,1,,2,,1
Oklahoma City,Artunian,Trumpet Concerto,1,,2,,3
Utah,Aubert,Habanera,1,,2,,1
Atlanta,"Auznieks, Krists",Crossing,1,,1,,1
Minnesota,"Bach, C.P.E.",Cello Concerto in A,1,,2,,1
